asin,price_pos,leak_pos,absorb_pos,comfort_pos,material_pos,package_pos,size_pos,price_neg,leak_neg,absorb_neg,comfort_neg,material_neg,package_neg,size_neg
B00LN3RDDA,4,4,3,0,4,2,5,0,0,0,0,0,0,0
B00LWE6C0A,8,74,0,83,2,5,12,0,10,0,9,0,0,0
B00M0RZH3G,0,2,0,0,0,0,0,0,2,0,0,0,0,0
B00M0S8OPS,0,0,0,3,0,0,0,0,0,0,0,0,0,0
B00NAA925Q,2,2,14,13,0,2,0,0,0,0,0,0,0,0
B00NB3SMOY,0,3,0,11,1,1,1,0,2,0,0,0,0,0
B00NJNJ6O6,1,2,0,2,0,0,0,0,0,0,0,0,0,0
B00OPX2RMW,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00PBI86O8,0,3,2,4,0,0,1,0,0,0,0,0,0,0
B00POBIWAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00QNPEWZA,1,0,0,3,0,1,0,0,0,0,0,0,0,0
B00QTJ23IS,1,4,3,2,0,2,0,0,0,0,0,0,0,0
B00SG3PHUQ,3,2,0,0,0,0,0,0,0,0,0,0,0,0
B00STLACSM,1,14,0,13,2,0,4,0,2,0,0,0,0,0
B00T4GNI1O,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B00TYY31U4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
B00UDFHFEQ,0,2,3,2,0,0,0,0,0,0,0,0,0,0
B00VIP6IQG,0,0,0,0,4,0,0,0,0,0,0,0,0,0
B00VU2VQF0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
B00XA48B86,7,2,10,11,0,4,3,0,0,0,0,0,0,0
B00XA48EWO,1,0,0,4,0,3,0,0,0,0,0,0,0,0
B00XAEXV1I,8,0,0,0,0,1,0,0,0,0,0,0,0,0
B00XAEXWH6,0,2,9,9,5,0,1,0,0,0,0,0,0,0
B00XAH04X8,1,0,0,2,0,0,0,0,0,0,0,0,0,0
B00ZB1KAT4,0,0,0,4,0,0,0,0,0,0,2,0,0,0
B01193V8CK,6,49,18,105,8,4,40,0,0,0,11,0,0,0
B0144M5L4E,1,2,0,0,0,1,0,0,0,0,0,0,0,0
B0145NOA2G,1,1,12,0,0,1,0,0,0,0,0,0,0,0
B014KORVYE,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B016AGSNHY,5,41,18,81,20,8,53,0,5,0,5,0,0,0
B017ERGIUW,3,2,12,5,5,1,1,0,0,0,0,0,0,0
B01BV4XLN6,3,0,3,0,0,0,0,0,0,0,0,0,0,0
B01BV4XLOU,1,6,9,0,0,0,0,0,0,0,0,0,0,0
B01C6YBDOO,2,2,6,11,0,0,2,0,0,0,0,0,0,0
B01CUOKUG2,1,4,0,12,0,0,2,0,0,0,0,0,0,0
B01D4VBU0K,2,0,2,10,0,0,0,0,0,0,0,0,0,0
B01E12I3Z6,1,9,15,13,0,2,0,0,0,0,3,0,0,0
